bar_id,instrument_id,edo,step,step_name,cents_from_step0,ratio_to_step0,freq_if_step0_is_C
5EDO-001,5EDO,5,0,C,0.0,1.0,129.199000
5EDO-002,5EDO,5,1,C+240c,240.0,1.148698355,150.732000
5EDO-003,5EDO,5,2,C+480c,480.0,1.319507911,172.266000
5EDO-004,5EDO,5,3,C+720c,720.0,1.515716567,204.565000
5EDO-005,5EDO,5,4,C+960c,960.0,1.741101127,226.099000
5EDO-006,5EDO,5,5,C+1oct,1200.0,2.0,258.398000
5EDO-007,5EDO,5,6,C+1440c,1440.0,2.29739671,301.465000
5EDO-008,5EDO,5,7,C+1680c,1680.0,2.639015822,344.531000
5EDO-009,5EDO,5,8,C+1920c,1920.0,3.031433133,398.364000
5EDO-010,5EDO,5,9,C+2160c,2160.0,3.482202253,462.964000
5EDO-011,5EDO,5,10,C+2oct,2400.0,4.0,527.563000
