bar_id,instrument_id,position_index,label_index_mod,audio_file,spectrogram_file,youtube_url,youtube_timecode,session_id,notes
edo5-61b336355e9b,edo5,,,audio/5edo/5EDO-001.wav,,,,,
edo5-7e2c7d857bed,edo5,,,audio/5edo/5EDO-002.wav,,,,,
edo5-5e8b79eae9d3,edo5,,,audio/5edo/5EDO-003.wav,,,,,
edo5-24a30cc3b167,edo5,,,audio/5edo/5EDO-004.wav,,,,,
edo5-75f2694f7957,edo5,,,audio/5edo/5EDO-005.wav,,,,,
edo5-93157d931b38,edo5,,,audio/5edo/5EDO-006.wav,,,,,
edo5-a4a832f9b977,edo5,,,audio/5edo/5EDO-007.wav,,,,,
edo5-fce3939cb618,edo5,,,audio/5edo/5EDO-008.wav,,,,,
edo5-cd16d90b55b5,edo5,,,audio/5edo/5EDO-009.wav,,,,,
edo5-2d0483727711,edo5,,,audio/5edo/5EDO-010.wav,,,,,
edo5-1b4ecd7400fb,edo5,,,audio/5edo/5EDO-011.wav,,,,,
edo7-fb52d8a75a9b,edo7,,,audio/7edo/7EDO-001.wav,,,,,
edo7-1abfad1116a1,edo7,,,audio/7edo/7EDO-002.wav,,,,,
edo7-f8235d122363,edo7,,,audio/7edo/7EDO-003.wav,,,,,
edo7-904406ec682f,edo7,,,audio/7edo/7EDO-004.wav,,,,,
edo7-0cbdb3bc8f04,edo7,,,audio/7edo/7EDO-005.wav,,,,,
edo7-fe13be460b39,edo7,,,audio/7edo/7EDO-006.wav,,,,,
edo7-11891f5dfeb5,edo7,,,audio/7edo/7EDO-007.wav,,,,,
edo7-dd705c722f0f,edo7,,,audio/7edo/7EDO-008.wav,,,,,
edo7-550dfa8b55f3,edo7,,,audio/7edo/7EDO-009.wav,,,,,
edo7-205debcb298e,edo7,,,audio/7edo/7EDO-010.wav,,,,,
edo7-04ae68ae46a5,edo7,,,audio/7edo/7EDO-011.wav,,,,,
edo7-b9bcaf75daae,edo7,,,audio/7edo/7EDO-012.wav,,,,,
edo7-8e0896ce1da7,edo7,,,audio/7edo/7EDO-013.wav,,,,,
edo7-97271ba0188b,edo7,,,audio/7edo/7EDO-014.wav,,,,,
edo7-d9ca12caccdb,edo7,,,audio/7edo/7EDO-015.wav,,,,,
edo8-44d2399ff445,edo8,,,audio/8edo/8EDO-001.wav,,,,,
edo8-28ae1cc73e89,edo8,,,audio/8edo/8EDO-002.wav,,,,,
edo8-401386af73cc,edo8,,,audio/8edo/8EDO-003.wav,,,,,
edo8-0701a4735929,edo8,,,audio/8edo/8EDO-004.wav,,,,,
edo8-74c27da2ea89,edo8,,,audio/8edo/8EDO-005.wav,,,,,
edo8-aa21b67a671e,edo8,,,audio/8edo/8EDO-006.wav,,,,,
edo8-a66cbace4a54,edo8,,,audio/8edo/8EDO-007.wav,,,,,
edo8-463c076abf7d,edo8,,,audio/8edo/8EDO-008.wav,,,,,
edo8-f261c5295f04,edo8,,,audio/8edo/8EDO-009.wav,,,,,
edo8-d38cd0b06134,edo8,,,audio/8edo/8EDO-010.wav,,,,,
edo8-a73305bf29ab,edo8,,,audio/8edo/8EDO-011.wav,,,,,
edo8-21b4a6a32dce,edo8,,,audio/8edo/8EDO-012.wav,,,,,
edo8-d12c2132744a,edo8,,,audio/8edo/8EDO-013.wav,,,,,
edo8-e351b82d0dfa,edo8,,,audio/8edo/8EDO-014.wav,,,,,
edo8-c079f8eb2594,edo8,,,audio/8edo/8EDO-015.wav,,,,,
edo8-a77e919c5e0f,edo8,,,audio/8edo/8EDO-016.wav,,,,,
edo8-fb9ae47faf5d,edo8,,,audio/8edo/8EDO-017.wav,,,,,
edo9-042992fc1eac,edo9,,,audio/9edo/9EDO-001.wav,,,,,
edo9-179790f93a6e,edo9,,,audio/9edo/9EDO-002.wav,,,,,
edo9-54bea77d9c0f,edo9,,,audio/9edo/9EDO-003.wav,,,,,
edo9-df1dc269980a,edo9,,,audio/9edo/9EDO-004.wav,,,,,
edo9-8f25c2535f78,edo9,,,audio/9edo/9EDO-005.wav,,,,,
edo9-aa0d17babe32,edo9,,,audio/9edo/9EDO-006.wav,,,,,
edo9-863cb098bba0,edo9,,,audio/9edo/9EDO-007.wav,,,,,
edo9-8d719ad098f5,edo9,,,audio/9edo/9EDO-008.wav,,,,,
edo9-c68100aa22ac,edo9,,,audio/9edo/9EDO-009.wav,,,,,
edo9-b32e58c613b3,edo9,,,audio/9edo/9EDO-010.wav,,,,,
edo9-28a4b3f4dc7e,edo9,,,audio/9edo/9EDO-011.wav,,,,,
edo9-30ccb5b694de,edo9,,,audio/9edo/9EDO-012.wav,,,,,
edo9-953d0e943c49,edo9,,,audio/9edo/9EDO-013.wav,,,,,
edo9-5e63d822e6b8,edo9,,,audio/9edo/9EDO-014.wav,,,,,
edo9-5bf705b665bb,edo9,,,audio/9edo/9EDO-015.wav,,,,,
edo9-f531816935f6,edo9,,,audio/9edo/9EDO-016.wav,,,,,
edo9-1bfa1cc507aa,edo9,,,audio/9edo/9EDO-017.wav,,,,,
edo9-62eca46c9eab,edo9,,,audio/9edo/9EDO-018.wav,,,,,
edo9-f0d6387d1fda,edo9,,,audio/9edo/9EDO-019.wav,,,,,
harmonic-4c9b72c90567,harmonic,,,audio/harmonic/harmonic-001.wav,,,,,
harmonic-bc9e6534cb15,harmonic,,,audio/harmonic/harmonic-002.wav,,,,,
harmonic-57c99e5dcf14,harmonic,,,audio/harmonic/harmonic-003.wav,,,,,
harmonic-da8a9c1f444d,harmonic,,,audio/harmonic/harmonic-004.wav,,,,,
harmonic-0fef2408b14f,harmonic,,,audio/harmonic/harmonic-005.wav,,,,,
harmonic-12602fd3e92b,harmonic,,,audio/harmonic/harmonic-006.wav,,,,,
harmonic-02a46f067dff,harmonic,,,audio/harmonic/harmonic-007.wav,,,,,
harmonic-f1bb7e1d19c4,harmonic,,,audio/harmonic/harmonic-008.wav,,,,,
harmonic-0200788c4a27,harmonic,,,audio/harmonic/harmonic-009.wav,,,,,
harmonic-a3505bce6b42,harmonic,,,audio/harmonic/harmonic-010.wav,,,,,
harmonic-5778f7df4b32,harmonic,,,audio/harmonic/harmonic-011.wav,,,,,
harmonic-ab8324fe378f,harmonic,,,audio/harmonic/harmonic-012.wav,,,,,
harmonic-9d9f473765a6,harmonic,,,audio/harmonic/harmonic-013.wav,,,,,
harmonic-8ffe6b27706f,harmonic,,,audio/harmonic/harmonic-014.wav,,,,,
harmonic-29d63e251a00,harmonic,,,audio/harmonic/harmonic-015.wav,,,,,
harmonic-c82dfa9ef65d,harmonic,,,audio/harmonic/harmonic-016.wav,,,,,
harmonic-bb2774498e75,harmonic,,,audio/harmonic/harmonic-017.wav,,,,,
harmonic-273794e07ed9,harmonic,,,audio/harmonic/harmonic-018.wav,,,,,
harmonic-1afef838baf7,harmonic,,,audio/harmonic/harmonic-019.wav,,,,,
harmonic-7e8096c48d72,harmonic,,,audio/harmonic/harmonic-020.wav,,,,,
harmonic-ef3fc761e46a,harmonic,,,audio/harmonic/harmonic-021.wav,,,,,
harmonic-0dca09b866b2,harmonic,,,audio/harmonic/harmonic-022.wav,,,,,
harmonic-5f62b780620f,harmonic,,,audio/harmonic/harmonic-023.wav,,,,,
harmonic-a0837c58a32f,harmonic,,,audio/harmonic/harmonic-024.wav,,,,,
harmonic-40b9f4510e50,harmonic,,,audio/harmonic/harmonic-025.wav,,,,,
harmonic-61c7e9e97c1f,harmonic,,,audio/harmonic/harmonic-026.wav,,,,,
harmonic-b82bbbc7de88,harmonic,,,audio/harmonic/harmonic-027.wav,,,,,
harmonic-08fe85efd0a4,harmonic,,,audio/harmonic/harmonic-028.wav,,,,,
harmonic-96f804f598d2,harmonic,,,audio/harmonic/harmonic-029.wav,,,,,
harmonic-ea56d84cc876,harmonic,,,audio/harmonic/harmonic-030.wav,,,,,
harmonic-e5d95b15e645,harmonic,,,audio/harmonic/harmonic-031.wav,,,,,
harmonic-9c4c32de1079,harmonic,,,audio/harmonic/harmonic-032.wav,,,,,
